"Month","Division","Line","Day Type","Reporting Category","Incidents"
"2020-01-01","A DIVISION","7","2","Operating Conditions","4"
"2020-01-01","A DIVISION","7","2","Planned ROW Work","12"
"2020-01-01","A DIVISION","7","2","Police & Medical","8"
"2020-01-01","A DIVISION","S 42nd","1",,"0"
"2020-01-01","A DIVISION","S 42nd","1","Crew Availability","0"
"2020-01-01","A DIVISION","S 42nd","1","External Factors","0"
"2020-01-01","A DIVISION","S 42nd","1","Infrastructure & Equipment","2"
"2020-01-01","A DIVISION","S 42nd","1","Operating Conditions","13"
"2020-01-01","A DIVISION","S 42nd","1","Planned ROW Work","1"
"2020-01-01","A DIVISION","S 42nd","1","Police & Medical","1"
"2020-01-01","A DIVISION","S 42nd","2",,"0"
"2020-01-01","A DIVISION","S 42nd","2","Crew Availability","0"
"2020-01-01","A DIVISION","S 42nd","2","External Factors","0"
"2020-01-01","A DIVISION","S 42nd","2","Infrastructure & Equipment","0"
"2020-01-01","A DIVISION","S 42nd","2","Operating Conditions","0"
"2020-01-01","A DIVISION","S 42nd","2","Planned ROW Work","0"
"2020-01-01","A DIVISION","S 42nd","2","Police & Medical","2"
"2020-01-01","B DIVISION","A","1",,"0"
"2020-01-01","B DIVISION","A","1","Crew Availability","35"
"2020-01-01","B DIVISION","A","1","External Factors","51"
"2020-01-01","B DIVISION","A","1","Infrastructure & Equipment","61"
"2020-01-01","B DIVISION","A","1","Operating Conditions","198"
"2020-01-01","B DIVISION","A","1","Planned ROW Work","51"
"2020-01-01","B DIVISION","A","1","Police & Medical","80"
"2020-01-01","B DIVISION","A","2",,"0"
"2020-01-01","B DIVISION","A","2","Crew Availability","6"
"2020-01-01","B DIVISION","A","2","External Factors","10"
"2020-01-01","B DIVISION","A","2","Infrastructure & Equipment","12"
"2020-01-01","B DIVISION","A","2","Operating Conditions","29"
"2020-01-01","B DIVISION","A","2","Planned ROW Work","18"
"2020-01-01","B DIVISION","A","2","Police & Medical","21"
"2020-01-01","B DIVISION","B","1",,"0"
"2020-01-01","B DIVISION","B","1","Crew Availability","14"
"2020-01-01","B DIVISION","B","1","External Factors","1"
"2020-01-01","B DIVISION","B","1","Infrastructure & Equipment","30"
"2020-01-01","B DIVISION","B","1","Operating Conditions","95"
"2020-01-01","B DIVISION","B","1","Planned ROW Work","9"
"2020-01-01","B DIVISION","B","1","Police & Medical","32"
"2020-01-01","B DIVISION","C","1",,"0"
"2020-01-01","B DIVISION","C","1","Crew Availability","17"
"2020-01-01","B DIVISION","C","1","External Factors","0"
"2020-01-01","B DIVISION","C","1","Infrastructure & Equipment","35"
"2020-01-01","B DIVISION","C","1","Operating Conditions","148"
"2020-01-01","B DIVISION","C","1","Planned ROW Work","6"
"2020-01-01","B DIVISION","C","1","Police & Medical","59"
"2020-01-01","B DIVISION","C","2",,"0"
"2020-01-01","B DIVISION","C","2","Crew Availability","5"
"2020-01-01","B DIVISION","C","2","External Factors","1"
"2020-01-01","B DIVISION","C","2","Infrastructure & Equipment","9"
"2020-01-01","B DIVISION","C","2","Operating Conditions","32"
"2020-01-01","B DIVISION","C","2","Planned ROW Work","6"
"2020-01-01","B DIVISION","C","2","Police & Medical","17"
"2020-01-01","B DIVISION","D","1",,"0"
