"month","division","line","day_type","category","count"
"2015-01-01","B DIVISION","Q","1","Track","2"
"2015-01-01","B DIVISION","R","1","Persons on Trackbed/Police/Medical","2"
"2015-01-01","B DIVISION","R","1","Subway Car","1"
"2015-01-01","B DIVISION","R","2","Other","2"
"2015-02-01","A DIVISION","1","1","Persons on Trackbed/Police/Medical","1"
"2015-02-01","A DIVISION","1","1","Signals","2"
"2015-02-01","A DIVISION","1","1","Track","1"
"2015-02-01","A DIVISION","2","1","Other","2"
"2015-02-01","A DIVISION","2","1","Signals","2"
"2015-02-01","A DIVISION","2","1","Track","3"
"2015-02-01","A DIVISION","2","2","Other","1"
"2015-02-01","A DIVISION","3","1","Other","1"
"2015-02-01","A DIVISION","3","1","Persons on Trackbed/Police/Medical","2"
"2015-02-01","A DIVISION","3","1","Signals","1"
"2015-02-01","A DIVISION","3","1","Track","2"
"2015-02-01","A DIVISION","4","1","Other","2"
"2015-02-01","A DIVISION","4","1","Signals","1"
"2015-02-01","A DIVISION","4","2","Signals","1"
"2015-02-01","A DIVISION","5","1","Persons on Trackbed/Police/Medical","1"
"2015-02-01","A DIVISION","5","1","Signals","3"
"2015-02-01","A DIVISION","6","1","Other","4"
"2015-02-01","A DIVISION","6","1","Persons on Trackbed/Police/Medical","2"
"2015-02-01","A DIVISION","6","2","Other","1"
"2015-02-01","A DIVISION","7","1","Persons on Trackbed/Police/Medical","1"
"2015-02-01","A DIVISION","7","1","Signals","3"
"2015-02-01","A DIVISION","7","1","Track","2"
"2015-02-01","B DIVISION","A","1","Other","3"
"2015-02-01","B DIVISION","A","1","Signals","1"
"2015-02-01","B DIVISION","A","2","Track","1"
"2015-02-01","B DIVISION","B","1","Stations and Structure","1"
"2015-02-01","B DIVISION","C","1","Persons on Trackbed/Police/Medical","1"
"2015-02-01","B DIVISION","C","1","Signals","1"
"2015-02-01","B DIVISION","D","1","Signals","1"
"2015-02-01","B DIVISION","D","1","Subway Car","1"
"2015-02-01","B DIVISION","E","1","Signals","1"
