"month","division","line","day_type","reporting_category","delays"
"2020-01-01","A DIVISION","1","1","Crew Availability","17"
"2020-01-01","A DIVISION","1","1","Infrastructure & Equipment","399"
"2020-01-01","A DIVISION","1","1","Operating Conditions","332"
"2020-01-01","A DIVISION","1","1","External Factors","314"
"2020-01-01","A DIVISION","1","1","Police & Medical","345"
"2020-01-01","A DIVISION","1","1","Planned ROW Work","111"
"2020-01-01","A DIVISION","1","2","Crew Availability","10"
"2020-01-01","A DIVISION","1","2","Planned ROW Work","18"
"2020-01-01","A DIVISION","1","2","Police & Medical","42"
"2020-01-01","A DIVISION","1","2","Infrastructure & Equipment","78"
"2020-01-01","A DIVISION","1","2","Operating Conditions","36"
"2020-01-01","A DIVISION","2","1","Operating Conditions","197"
"2020-01-01","A DIVISION","2","1","External Factors","252"
"2020-01-01","A DIVISION","2","1","Planned ROW Work","228"
"2020-01-01","A DIVISION","2","1","Infrastructure & Equipment","270"
"2020-01-01","A DIVISION","2","1","Police & Medical","312"
"2020-01-01","A DIVISION","2","1","Crew Availability","12"
"2020-01-01","A DIVISION","2","2","Crew Availability","7"
"2020-01-01","A DIVISION","2","2","Police & Medical","117"
"2020-01-01","A DIVISION","2","2","Planned ROW Work","90"
"2020-01-01","A DIVISION","2","2","Operating Conditions","328"
"2020-01-01","A DIVISION","2","2","External Factors","18"
"2020-01-01","A DIVISION","2","2","Infrastructure & Equipment","106"
"2020-01-01","A DIVISION","3","1","Planned ROW Work","99"
"2020-01-01","A DIVISION","3","1","External Factors","228"
"2020-01-01","A DIVISION","3","1","Operating Conditions","130"
"2020-01-01","A DIVISION","3","1","Police & Medical","210"
"2020-01-01","A DIVISION","3","1","Infrastructure & Equipment","196"
"2020-01-01","A DIVISION","3","1","Crew Availability","8"
"2020-01-01","A DIVISION","3","2","Planned ROW Work","67"
"2020-01-01","A DIVISION","3","2","External Factors","1"
"2020-01-01","A DIVISION","3","2","Crew Availability","1"
"2020-01-01","A DIVISION","3","2","Police & Medical","56"
"2020-01-01","A DIVISION","3","2","Infrastructure & Equipment","63"
"2020-01-01","A DIVISION","3","2","Operating Conditions","160"
"2020-01-01","A DIVISION","4","1","Planned ROW Work","226"
"2020-01-01","A DIVISION","4","1","Police & Medical","484"
"2020-01-01","A DIVISION","4","1","External Factors","93"
"2020-01-01","A DIVISION","4","1","Infrastructure & Equipment","386"
"2020-01-01","A DIVISION","4","1","Crew Availability","18"
"2020-01-01","A DIVISION","4","1","Operating Conditions","366"
"2020-01-01","A DIVISION","4","2","Infrastructure & Equipment","78"
"2020-01-01","A DIVISION","4","2","Planned ROW Work","142"
"2020-01-01","A DIVISION","4","2","Operating Conditions","89"
"2020-01-01","A DIVISION","4","2","Crew Availability","3"
"2020-01-01","A DIVISION","4","2","External Factors","22"
"2020-01-01","A DIVISION","4","2","Police & Medical","166"
"2020-01-01","A DIVISION","5","1","Infrastructure & Equipment","337"
"2020-01-01","A DIVISION","5","1","Police & Medical","382"
"2020-01-01","A DIVISION","5","1","External Factors","127"
"2020-01-01","A DIVISION","5","1","Crew Availability","5"
"2020-01-01","A DIVISION","5","1","Operating Conditions","176"
"2020-01-01","A DIVISION","5","1","Planned ROW Work","53"
"2020-01-01","A DIVISION","5","2","Operating Conditions","46"
"2020-01-01","A DIVISION","5","2","Infrastructure & Equipment","18"
"2020-01-01","A DIVISION","5","2","External Factors","16"
"2020-01-01","A DIVISION","5","2","Crew Availability","4"
"2020-01-01","A DIVISION","5","2","Police & Medical","52"
"2020-01-01","A DIVISION","5","2","Planned ROW Work","36"
"2020-01-01","A DIVISION","6","1","Operating Conditions","643"
"2020-01-01","A DIVISION","6","1","Crew Availability","14"
"2020-01-01","A DIVISION","6","1","Police & Medical","724"
"2020-01-01","A DIVISION","6","1","Infrastructure & Equipment","373"
"2020-01-01","A DIVISION","6","1","External Factors","40"
"2020-01-01","A DIVISION","6","1","Planned ROW Work","211"
"2020-01-01","A DIVISION","6","2","Infrastructure & Equipment","56"
"2020-01-01","A DIVISION","6","2","External Factors","5"
"2020-01-01","A DIVISION","6","2","Planned ROW Work","45"
"2020-01-01","A DIVISION","6","2","Crew Availability","8"
"2020-01-01","A DIVISION","6","2","Operating Conditions","76"
"2020-01-01","A DIVISION","6","2","Police & Medical","168"
"2020-01-01","A DIVISION","7","1","Operating Conditions","28"
"2020-01-01","A DIVISION","7","1","Planned ROW Work","125"
"2020-01-01","A DIVISION","7","1","External Factors","4"
"2020-01-01","A DIVISION","7","1","Police & Medical","272"
"2020-01-01","A DIVISION","7","1","Crew Availability","6"
"2020-01-01","A DIVISION","7","1","Infrastructure & Equipment","799"
"2020-01-01","A DIVISION","7","2","Crew Availability","5"
"2020-01-01","A DIVISION","7","2","Operating Conditions","8"
"2020-01-01","A DIVISION","7","2","Planned ROW Work","73"
"2020-01-01","A DIVISION","7","2","Police & Medical","47"
"2020-01-01","A DIVISION","7","2","Infrastructure & Equipment","66"
"2020-01-01","A DIVISION","S 42nd","1","Infrastructure & Equipment","22"
"2020-01-01","A DIVISION","S 42nd","1","Operating Conditions","73"
"2020-01-01","A DIVISION","S 42nd","1","Police & Medical","45"
"2020-01-01","A DIVISION","S 42nd","1","Planned ROW Work","5"
"2020-01-01","A DIVISION","S 42nd","2","Police & Medical","9"
"2020-01-01","B DIVISION","A","1","Infrastructure & Equipment","330"
"2020-01-01","B DIVISION","A","1","External Factors","148"
"2020-01-01","B DIVISION","A","1","Operating Conditions","863"
"2020-01-01","B DIVISION","A","1","Police & Medical","366"
"2020-01-01","B DIVISION","A","1","Crew Availability","65"
"2020-01-01","B DIVISION","A","1","Planned ROW Work","470"
"2020-01-01","B DIVISION","A","2","Police & Medical","96"
"2020-01-01","B DIVISION","A","2","Planned ROW Work","146"
"2020-01-01","B DIVISION","A","2","Infrastructure & Equipment","92"
"2020-01-01","B DIVISION","A","2","Crew Availability","21"
"2020-01-01","B DIVISION","A","2","Operating Conditions","64"
"2020-01-01","B DIVISION","A","2","External Factors","84"
"2020-01-01","B DIVISION","B","1","External Factors","14"
"2020-01-01","B DIVISION","B","1","Crew Availability","26"
"2020-01-01","B DIVISION","B","1","Infrastructure & Equipment","229"
"2020-01-01","B DIVISION","B","1","Planned ROW Work","109"
"2020-01-01","B DIVISION","B","1","Operating Conditions","588"
"2020-01-01","B DIVISION","B","1","Police & Medical","263"
"2020-01-01","B DIVISION","C","1","Infrastructure & Equipment","169"
"2020-01-01","B DIVISION","C","1","External Factors","5"
"2020-01-01","B DIVISION","C","1","Crew Availability","47"
"2020-01-01","B DIVISION","C","1","Planned ROW Work","42"
"2020-01-01","B DIVISION","C","1","Operating Conditions","494"
"2020-01-01","B DIVISION","C","1","Police & Medical","219"
"2020-01-01","B DIVISION","C","2","External Factors","68"
"2020-01-01","B DIVISION","C","2","Crew Availability","4"
"2020-01-01","B DIVISION","C","2","Operating Conditions","105"
"2020-01-01","B DIVISION","C","2","Infrastructure & Equipment","53"
"2020-01-01","B DIVISION","C","2","Police & Medical","74"
"2020-01-01","B DIVISION","C","2","Planned ROW Work","51"
"2020-01-01","B DIVISION","D","1","Crew Availability","114"
"2020-01-01","B DIVISION","D","1","Infrastructure & Equipment","263"
"2020-01-01","B DIVISION","D","1","External Factors","6"
"2020-01-01","B DIVISION","D","1","Operating Conditions","564"
"2020-01-01","B DIVISION","D","1","Police & Medical","351"
"2020-01-01","B DIVISION","D","1","Planned ROW Work","462"
"2020-01-01","B DIVISION","D","2","Operating Conditions","98"
"2020-01-01","B DIVISION","D","2","External Factors","67"
"2020-01-01","B DIVISION","D","2","Police & Medical","75"
"2020-01-01","B DIVISION","D","2","Infrastructure & Equipment","90"
"2020-01-01","B DIVISION","D","2","Crew Availability","11"
"2020-01-01","B DIVISION","D","2","Planned ROW Work","50"
"2020-01-01","B DIVISION","E","1","Crew Availability","26"
"2020-01-01","B DIVISION","E","1","Planned ROW Work","312"
"2020-01-01","B DIVISION","E","1","Police & Medical","277"
"2020-01-01","B DIVISION","E","1","External Factors","7"
"2020-01-01","B DIVISION","E","1","Infrastructure & Equipment","575"
"2020-01-01","B DIVISION","E","1","Operating Conditions","536"
"2020-01-01","B DIVISION","E","2","Crew Availability","4"
"2020-01-01","B DIVISION","E","2","Operating Conditions","9"
"2020-01-01","B DIVISION","E","2","Infrastructure & Equipment","82"
"2020-01-01","B DIVISION","E","2","Planned ROW Work","51"
"2020-01-01","B DIVISION","E","2","Police & Medical","48"
"2020-01-01","B DIVISION","F","1","Operating Conditions","480"
"2020-01-01","B DIVISION","F","1","Infrastructure & Equipment","696"
"2020-01-01","B DIVISION","F","1","Police & Medical","329"
"2020-01-01","B DIVISION","F","1","External Factors","8"
"2020-01-01","B DIVISION","F","1","Planned ROW Work","925"
"2020-01-01","B DIVISION","F","1","Crew Availability","87"
"2020-01-01","B DIVISION","F","2","Police & Medical","71"
"2020-01-01","B DIVISION","F","2","Crew Availability","12"
"2020-01-01","B DIVISION","F","2","Planned ROW Work","167"
"2020-01-01","B DIVISION","F","2","Operating Conditions","65"
"2020-01-01","B DIVISION","F","2","Infrastructure & Equipment","111"
"2020-01-01","B DIVISION","G","1","Police & Medical","150"
"2020-01-01","B DIVISION","G","1","Crew Availability","33"
"2020-01-01","B DIVISION","G","1","Operating Conditions","526"
"2020-01-01","B DIVISION","G","1","Planned ROW Work","526"
"2020-01-01","B DIVISION","G","1","Infrastructure & Equipment","165"
"2020-01-01","B DIVISION","G","2","Planned ROW Work","210"
"2020-01-01","B DIVISION","G","2","Operating Conditions","99"
"2020-01-01","B DIVISION","G","2","Infrastructure & Equipment","72"
"2020-01-01","B DIVISION","G","2","Police & Medical","83"
"2020-01-01","B DIVISION","JZ","1","Police & Medical","194"
"2020-01-01","B DIVISION","JZ","1","External Factors","29"
"2020-01-01","B DIVISION","JZ","1","Infrastructure & Equipment","208"
"2020-01-01","B DIVISION","JZ","1","Planned ROW Work","200"
"2020-01-01","B DIVISION","JZ","1","Operating Conditions","360"
"2020-01-01","B DIVISION","JZ","1","Crew Availability","44"
"2020-01-01","B DIVISION","JZ","2","Infrastructure & Equipment","59"
"2020-01-01","B DIVISION","JZ","2","Operating Conditions","115"
"2020-01-01","B DIVISION","JZ","2","Police & Medical","32"
"2020-01-01","B DIVISION","JZ","2","Planned ROW Work","106"
"2020-01-01","B DIVISION","JZ","2","External Factors","2"
"2020-01-01","B DIVISION","JZ","2","Crew Availability","16"
"2020-01-01","B DIVISION","L","1","Operating Conditions","25"
"2020-01-01","B DIVISION","L","1","Police & Medical","137"
"2020-01-01","B DIVISION","L","1","Planned ROW Work","198"
"2020-01-01","B DIVISION","L","1","Crew Availability","17"
"2020-01-01","B DIVISION","L","1","Infrastructure & Equipment","321"
"2020-01-01","B DIVISION","L","1","External Factors","8"
"2020-01-01","B DIVISION","L","2","Planned ROW Work","13"
"2020-01-01","B DIVISION","L","2","Police & Medical","18"
"2020-01-01","B DIVISION","L","2","External Factors","18"
"2020-01-01","B DIVISION","L","2","Operating Conditions","31"
"2020-01-01","B DIVISION","L","2","Infrastructure & Equipment","10"
"2020-01-01","B DIVISION","M","1","External Factors","20"
"2020-01-01","B DIVISION","M","1","Police & Medical","245"
"2020-01-01","B DIVISION","M","1","Operating Conditions","358"
"2020-01-01","B DIVISION","M","1","Infrastructure & Equipment","361"
"2020-01-01","B DIVISION","M","1","Crew Availability","40"
"2020-01-01","B DIVISION","M","1","Planned ROW Work","187"
"2020-01-01","B DIVISION","M","2","Police & Medical","41"
"2020-01-01","B DIVISION","M","2","Crew Availability","2"
"2020-01-01","B DIVISION","M","2","Planned ROW Work","32"
"2020-01-01","B DIVISION","M","2","Operating Conditions","52"
"2020-01-01","B DIVISION","M","2","External Factors","1"
"2020-01-01","B DIVISION","M","2","Infrastructure & Equipment","128"
"2020-01-01","B DIVISION","N","1","Operating Conditions","853"
"2020-01-01","B DIVISION","N","1","External Factors","54"
"2020-01-01","B DIVISION","N","1","Police & Medical","375"
"2020-01-01","B DIVISION","N","1","Planned ROW Work","942"
"2020-01-01","B DIVISION","N","1","Infrastructure & Equipment","886"
"2020-01-01","B DIVISION","N","1","Crew Availability","60"
"2020-01-01","B DIVISION","N","2","Infrastructure & Equipment","115"
"2020-01-01","B DIVISION","N","2","Crew Availability","16"
"2020-01-01","B DIVISION","N","2","Planned ROW Work","366"
"2020-01-01","B DIVISION","N","2","Police & Medical","54"
"2020-01-01","B DIVISION","N","2","Operating Conditions","72"
"2020-01-01","B DIVISION","N","2","External Factors","10"
"2020-01-01","B DIVISION","Q","1","Operating Conditions","144"
"2020-01-01","B DIVISION","Q","1","Planned ROW Work","272"
"2020-01-01","B DIVISION","Q","1","Police & Medical","215"
"2020-01-01","B DIVISION","Q","1","Infrastructure & Equipment","336"
"2020-01-01","B DIVISION","Q","1","External Factors","17"
"2020-01-01","B DIVISION","Q","1","Crew Availability","72"
"2020-01-01","B DIVISION","Q","2","Planned ROW Work","153"
"2020-01-01","B DIVISION","Q","2","Operating Conditions","88"
"2020-01-01","B DIVISION","Q","2","Infrastructure & Equipment","108"
"2020-01-01","B DIVISION","Q","2","Police & Medical","80"
"2020-01-01","B DIVISION","Q","2","External Factors","17"
"2020-01-01","B DIVISION","Q","2","Crew Availability","11"
"2020-01-01","B DIVISION","R","1","Infrastructure & Equipment","474"
"2020-01-01","B DIVISION","R","1","Crew Availability","59"
"2020-01-01","B DIVISION","R","1","External Factors","7"
"2020-01-01","B DIVISION","R","1","Planned ROW Work","368"
"2020-01-01","B DIVISION","R","1","Operating Conditions","340"
"2020-01-01","B DIVISION","R","1","Police & Medical","229"
"2020-01-01","B DIVISION","R","2","Planned ROW Work","120"
"2020-01-01","B DIVISION","R","2","Operating Conditions","15"
"2020-01-01","B DIVISION","R","2","Crew Availability","6"
"2020-01-01","B DIVISION","R","2","External Factors","1"
"2020-01-01","B DIVISION","R","2","Police & Medical","44"
"2020-01-01","B DIVISION","R","2","Infrastructure & Equipment","92"
"2020-01-01","B DIVISION","S Fkln","1","Police & Medical","6"
"2020-01-01","B DIVISION","S Fkln","1","Infrastructure & Equipment","3"
"2020-01-01","B DIVISION","S Fkln","2","External Factors","5"
"2020-01-01","B DIVISION","S Rock","1","Police & Medical","2"
"2020-01-01","B DIVISION","S Rock","1","Infrastructure & Equipment","22"
"2020-01-01","B DIVISION","S Rock","1","Operating Conditions","6"
"2020-01-01","B DIVISION","S Rock","1","Planned ROW Work","7"
"2020-01-01","B DIVISION","S Rock","1","External Factors","63"
"2020-01-01","B DIVISION","S Rock","2","Police & Medical","16"
"2020-01-01","B DIVISION","S Rock","2","Operating Conditions","1"
"2020-01-01","B DIVISION","S Rock","2","Planned ROW Work","2"
"2020-01-01","B DIVISION","S Rock","2","External Factors","13"
"2020-01-01","B DIVISION","S Rock","2","Infrastructure & Equipment","3"
"2020-02-01","A DIVISION","1","1","Crew Availability","13"
"2020-02-01","A DIVISION","1","1","Infrastructure & Equipment","437"
"2020-02-01","A DIVISION","1","1","Police & Medical","325"
"2020-02-01","A DIVISION","1","1","Planned ROW Work","72"
"2020-02-01","A DIVISION","1","1","Operating Conditions","287"
"2020-02-01","A DIVISION","1","1","External Factors","45"
"2020-02-01","A DIVISION","1","2","Operating Conditions","59"
"2020-02-01","A DIVISION","1","2","Planned ROW Work","53"
"2020-02-01","A DIVISION","1","2","Infrastructure & Equipment","73"
"2020-02-01","A DIVISION","1","2","Police & Medical","53"
"2020-02-01","A DIVISION","1","2","Crew Availability","9"
"2020-02-01","A DIVISION","2","1","Crew Availability","12"
"2020-02-01","A DIVISION","2","1","Police & Medical","363"
"2020-02-01","A DIVISION","2","1","Infrastructure & Equipment","326"
"2020-02-01","A DIVISION","2","1","Planned ROW Work","188"
"2020-02-01","A DIVISION","2","1","Operating Conditions","212"
"2020-02-01","A DIVISION","2","1","External Factors","36"
"2020-02-01","A DIVISION","2","2","External Factors","30"
"2020-02-01","A DIVISION","2","2","Police & Medical","129"
"2020-02-01","A DIVISION","2","2","Operating Conditions","343"
"2020-02-01","A DIVISION","2","2","Infrastructure & Equipment","104"
"2020-02-01","A DIVISION","2","2","Crew Availability","19"
"2020-02-01","A DIVISION","2","2","Planned ROW Work","175"
"2020-02-01","A DIVISION","3","1","Crew Availability","5"
"2020-02-01","A DIVISION","3","1","Operating Conditions","104"
"2020-02-01","A DIVISION","3","1","Infrastructure & Equipment","267"
"2020-02-01","A DIVISION","3","1","External Factors","7"
"2020-02-01","A DIVISION","3","1","Police & Medical","282"
"2020-02-01","A DIVISION","3","1","Planned ROW Work","75"
"2020-02-01","A DIVISION","3","2","Police & Medical","74"
"2020-02-01","A DIVISION","3","2","Planned ROW Work","89"
"2020-02-01","A DIVISION","3","2","Infrastructure & Equipment","63"
"2020-02-01","A DIVISION","3","2","Crew Availability","5"
"2020-02-01","A DIVISION","3","2","External Factors","7"
"2020-02-01","A DIVISION","3","2","Operating Conditions","149"
"2020-02-01","A DIVISION","4","1","Crew Availability","8"
"2020-02-01","A DIVISION","4","1","Planned ROW Work","315"
"2020-02-01","A DIVISION","4","1","External Factors","8"
"2020-02-01","A DIVISION","4","1","Operating Conditions","246"
"2020-02-01","A DIVISION","4","1","Infrastructure & Equipment","318"
"2020-02-01","A DIVISION","4","1","Police & Medical","589"
"2020-02-01","A DIVISION","4","2","Infrastructure & Equipment","85"
"2020-02-01","A DIVISION","4","2","Police & Medical","118"
"2020-02-01","A DIVISION","4","2","Crew Availability","27"
"2020-02-01","A DIVISION","4","2","Operating Conditions","118"
"2020-02-01","A DIVISION","4","2","External Factors","13"
"2020-02-01","A DIVISION","4","2","Planned ROW Work","203"
"2020-02-01","A DIVISION","5","1","Police & Medical","519"
"2020-02-01","A DIVISION","5","1","Planned ROW Work","91"
"2020-02-01","A DIVISION","5","1","Operating Conditions","199"
"2020-02-01","A DIVISION","5","1","Infrastructure & Equipment","237"
"2020-02-01","A DIVISION","5","1","External Factors","70"
"2020-02-01","A DIVISION","5","1","Crew Availability","11"
"2020-02-01","A DIVISION","5","2","Crew Availability","2"
"2020-02-01","A DIVISION","5","2","External Factors","12"
"2020-02-01","A DIVISION","5","2","Planned ROW Work","105"
"2020-02-01","A DIVISION","5","2","Police & Medical","34"
"2020-02-01","A DIVISION","5","2","Infrastructure & Equipment","31"
"2020-02-01","A DIVISION","5","2","Operating Conditions","39"
"2020-02-01","A DIVISION","6","1","Police & Medical","819"
"2020-02-01","A DIVISION","6","1","Infrastructure & Equipment","441"
"2020-02-01","A DIVISION","6","1","External Factors","22"
"2020-02-01","A DIVISION","6","1","Crew Availability","6"
"2020-02-01","A DIVISION","6","1","Planned ROW Work","196"
"2020-02-01","A DIVISION","6","1","Operating Conditions","671"
"2020-02-01","A DIVISION","6","2","Planned ROW Work","83"
"2020-02-01","A DIVISION","6","2","Infrastructure & Equipment","34"
"2020-02-01","A DIVISION","6","2","Police & Medical","118"
"2020-02-01","A DIVISION","6","2","Crew Availability","10"
"2020-02-01","A DIVISION","6","2","External Factors","3"
"2020-02-01","A DIVISION","6","2","Operating Conditions","57"
"2020-02-01","A DIVISION","7","1","Infrastructure & Equipment","401"
"2020-02-01","A DIVISION","7","1","Police & Medical","199"
"2020-02-01","A DIVISION","7","1","Operating Conditions","92"
"2020-02-01","A DIVISION","7","1","Planned ROW Work","120"
"2020-02-01","A DIVISION","7","1","Crew Availability","11"
"2020-02-01","A DIVISION","7","1","External Factors","21"
"2020-02-01","A DIVISION","7","2","Operating Conditions","25"
"2020-02-01","A DIVISION","7","2","Crew Availability","5"
"2020-02-01","A DIVISION","7","2","Police & Medical","32"
"2020-02-01","A DIVISION","7","2","Infrastructure & Equipment","115"
"2020-02-01","A DIVISION","7","2","Planned ROW Work","7"
"2020-02-01","A DIVISION","S 42nd","1","Infrastructure & Equipment","9"
"2020-02-01","A DIVISION","S 42nd","1","Police & Medical","6"
"2020-02-01","A DIVISION","S 42nd","1","Operating Conditions","65"
"2020-02-01","A DIVISION","S 42nd","2","Crew Availability","2"
"2020-02-01","A DIVISION","S 42nd","2","Infrastructure & Equipment","12"
"2020-02-01","B DIVISION","A","1","Crew Availability","178"
"2020-02-01","B DIVISION","A","1","Police & Medical","278"
"2020-02-01","B DIVISION","A","1","Planned ROW Work","414"
"2020-02-01","B DIVISION","A","1","External Factors","104"
"2020-02-01","B DIVISION","A","1","Operating Conditions","633"
"2020-02-01","B DIVISION","A","1","Infrastructure & Equipment","226"
"2020-02-01","B DIVISION","A","2","Crew Availability","44"
"2020-02-01","B DIVISION","A","2","Operating Conditions","114"
"2020-02-01","B DIVISION","A","2","External Factors","31"
"2020-02-01","B DIVISION","A","2","Infrastructure & Equipment","161"
"2020-02-01","B DIVISION","A","2","Planned ROW Work","130"
"2020-02-01","B DIVISION","A","2","Police & Medical","53"
"2020-02-01","B DIVISION","B","1","Infrastructure & Equipment","260"
"2020-02-01","B DIVISION","B","1","Planned ROW Work","58"
"2020-02-01","B DIVISION","B","1","Operating Conditions","503"
"2020-02-01","B DIVISION","B","1","Crew Availability","50"
"2020-02-01","B DIVISION","B","1","Police & Medical","196"
"2020-02-01","B DIVISION","B","1","External Factors","28"
"2020-02-01","B DIVISION","C","1","Operating Conditions","352"
"2020-02-01","B DIVISION","C","1","Crew Availability","127"
"2020-02-01","B DIVISION","C","1","Infrastructure & Equipment","123"
"2020-02-01","B DIVISION","C","1","Police & Medical","170"
"2020-02-01","B DIVISION","C","1","Planned ROW Work","18"
"2020-02-01","B DIVISION","C","2","Infrastructure & Equipment","84"
"2020-02-01","B DIVISION","C","2","Planned ROW Work","29"
"2020-02-01","B DIVISION","C","2","Crew Availability","31"
"2020-02-01","B DIVISION","C","2","Operating Conditions","80"
"2020-02-01","B DIVISION","C","2","Police & Medical","40"
"2020-02-01","B DIVISION","D","1","Police & Medical","241"
"2020-02-01","B DIVISION","D","1","Crew Availability","90"
"2020-02-01","B DIVISION","D","1","Infrastructure & Equipment","307"
"2020-02-01","B DIVISION","D","1","Operating Conditions","442"
"2020-02-01","B DIVISION","D","1","Planned ROW Work","405"
"2020-02-01","B DIVISION","D","1","External Factors","34"
"2020-02-01","B DIVISION","D","2","Planned ROW Work","80"
"2020-02-01","B DIVISION","D","2","Police & Medical","61"
"2020-02-01","B DIVISION","D","2","Infrastructure & Equipment","46"
"2020-02-01","B DIVISION","D","2","Operating Conditions","70"
"2020-02-01","B DIVISION","D","2","Crew Availability","27"
"2020-02-01","B DIVISION","E","1","Police & Medical","272"
"2020-02-01","B DIVISION","E","1","External Factors","11"
"2020-02-01","B DIVISION","E","1","Operating Conditions","282"
"2020-02-01","B DIVISION","E","1","Planned ROW Work","523"
"2020-02-01","B DIVISION","E","1","Infrastructure & Equipment","436"
"2020-02-01","B DIVISION","E","1","Crew Availability","27"
"2020-02-01","B DIVISION","E","2","Crew Availability","12"
"2020-02-01","B DIVISION","E","2","Planned ROW Work","48"
"2020-02-01","B DIVISION","E","2","Operating Conditions","51"
"2020-02-01","B DIVISION","E","2","Police & Medical","39"
"2020-02-01","B DIVISION","E","2","Infrastructure & Equipment","49"
"2020-02-01","B DIVISION","F","1","Police & Medical","331"
"2020-02-01","B DIVISION","F","1","Crew Availability","92"
"2020-02-01","B DIVISION","F","1","Infrastructure & Equipment","498"
"2020-02-01","B DIVISION","F","1","External Factors","2"
"2020-02-01","B DIVISION","F","1","Operating Conditions","377"
"2020-02-01","B DIVISION","F","1","Planned ROW Work","740"
"2020-02-01","B DIVISION","F","2","Infrastructure & Equipment","55"
"2020-02-01","B DIVISION","F","2","Planned ROW Work","163"
"2020-02-01","B DIVISION","F","2","Operating Conditions","54"
"2020-02-01","B DIVISION","F","2","Crew Availability","41"
"2020-02-01","B DIVISION","F","2","External Factors","1"
"2020-02-01","B DIVISION","F","2","Police & Medical","65"
"2020-02-01","B DIVISION","G","1","Operating Conditions","534"
"2020-02-01","B DIVISION","G","1","Planned ROW Work","396"
"2020-02-01","B DIVISION","G","1","Police & Medical","87"
"2020-02-01","B DIVISION","G","1","Crew Availability","32"
"2020-02-01","B DIVISION","G","1","Infrastructure & Equipment","198"
"2020-02-01","B DIVISION","G","1","External Factors","4"
"2020-02-01","B DIVISION","G","2","Infrastructure & Equipment","54"
"2020-02-01","B DIVISION","G","2","Operating Conditions","120"
"2020-02-01","B DIVISION","G","2","Planned ROW Work","227"
"2020-02-01","B DIVISION","G","2","Police & Medical","51"
"2020-02-01","B DIVISION","JZ","1","Crew Availability","47"
"2020-02-01","B DIVISION","JZ","1","Operating Conditions","299"
"2020-02-01","B DIVISION","JZ","1","External Factors","119"
"2020-02-01","B DIVISION","JZ","1","Infrastructure & Equipment","124"
"2020-02-01","B DIVISION","JZ","1","Planned ROW Work","158"
"2020-02-01","B DIVISION","JZ","1","Police & Medical","97"
"2020-02-01","B DIVISION","JZ","2","Operating Conditions","86"
"2020-02-01","B DIVISION","JZ","2","Planned ROW Work","67"
"2020-02-01","B DIVISION","JZ","2","Crew Availability","41"
"2020-02-01","B DIVISION","JZ","2","Police & Medical","24"
"2020-02-01","B DIVISION","JZ","2","External Factors","28"
"2020-02-01","B DIVISION","JZ","2","Infrastructure & Equipment","62"
"2020-02-01","B DIVISION","L","1","Infrastructure & Equipment","386"
"2020-02-01","B DIVISION","L","1","Operating Conditions","44"
"2020-02-01","B DIVISION","L","1","Crew Availability","10"
"2020-02-01","B DIVISION","L","1","Police & Medical","167"
"2020-02-01","B DIVISION","L","1","External Factors","6"
"2020-02-01","B DIVISION","L","1","Planned ROW Work","183"
"2020-02-01","B DIVISION","L","2","Police & Medical","41"
"2020-02-01","B DIVISION","L","2","External Factors","2"
"2020-02-01","B DIVISION","L","2","Crew Availability","5"
"2020-02-01","B DIVISION","L","2","Operating Conditions","37"
"2020-02-01","B DIVISION","L","2","Planned ROW Work","44"
"2020-02-01","B DIVISION","L","2","Infrastructure & Equipment","4"
"2020-02-01","B DIVISION","M","1","Operating Conditions","234"
"2020-02-01","B DIVISION","M","1","Infrastructure & Equipment","241"
"2020-02-01","B DIVISION","M","1","Police & Medical","174"
"2020-02-01","B DIVISION","M","1","External Factors","46"
"2020-02-01","B DIVISION","M","1","Crew Availability","63"
"2020-02-01","B DIVISION","M","1","Planned ROW Work","103"
"2020-02-01","B DIVISION","M","2","External Factors","7"
"2020-02-01","B DIVISION","M","2","Police & Medical","58"
"2020-02-01","B DIVISION","M","2","Crew Availability","18"
"2020-02-01","B DIVISION","M","2","Operating Conditions","43"
"2020-02-01","B DIVISION","M","2","Planned ROW Work","80"
"2020-02-01","B DIVISION","M","2","Infrastructure & Equipment","51"
"2020-02-01","B DIVISION","N","1","Police & Medical","521"
"2020-02-01","B DIVISION","N","1","Planned ROW Work","928"
"2020-02-01","B DIVISION","N","1","External Factors","97"
"2020-02-01","B DIVISION","N","1","Operating Conditions","934"
"2020-02-01","B DIVISION","N","1","Crew Availability","91"
"2020-02-01","B DIVISION","N","1","Infrastructure & Equipment","592"
"2020-02-01","B DIVISION","N","2","Operating Conditions","100"
"2020-02-01","B DIVISION","N","2","Planned ROW Work","511"
"2020-02-01","B DIVISION","N","2","Infrastructure & Equipment","126"
"2020-02-01","B DIVISION","N","2","Police & Medical","71"
"2020-02-01","B DIVISION","N","2","Crew Availability","28"
"2020-02-01","B DIVISION","Q","1","Police & Medical","293"
"2020-02-01","B DIVISION","Q","1","Planned ROW Work","342"
"2020-02-01","B DIVISION","Q","1","Operating Conditions","193"
"2020-02-01","B DIVISION","Q","1","Crew Availability","62"
"2020-02-01","B DIVISION","Q","1","External Factors","77"
"2020-02-01","B DIVISION","Q","1","Infrastructure & Equipment","276"
"2020-02-01","B DIVISION","Q","2","Crew Availability","23"
"2020-02-01","B DIVISION","Q","2","External Factors","2"
"2020-02-01","B DIVISION","Q","2","Infrastructure & Equipment","52"
