"month","division","line","day_type","period","num_timepoints_passing_wait _assessment","num_sched_timepoints","wait assessment"
"2015-06-01","B DIVISION","S Rock","2","peak","294","312","94.2307692%"
"2015-07-01","A DIVISION","1","1","offpeak","20,832","26,621","78.25401%"
"2015-07-01","A DIVISION","1","2","offpeak","3,880","4,375","88.6857143%"
"2015-07-01","A DIVISION","1","1","peak","12,906","17,488","73.7991766%"
"2015-07-01","A DIVISION","1","2","peak","1,946","2,199","88.4947704%"
"2015-07-01","A DIVISION","2","1","offpeak","21,062","28,352","74.2875282%"
"2015-07-01","A DIVISION","2","2","offpeak","5,920","7,328","80.7860262%"
"2015-07-01","A DIVISION","2","1","peak","12,597","18,674","67.4574274%"
"2015-07-01","A DIVISION","2","2","peak","3,024","3,751","80.6185017%"
"2015-07-01","A DIVISION","3","1","offpeak","19,555","24,507","79.7935284%"
"2015-07-01","A DIVISION","3","2","offpeak","4,828","5,898","81.858257%"
"2015-07-01","A DIVISION","3","1","peak","11,973","15,928","75.1695128%"
"2015-07-01","A DIVISION","3","2","peak","2,505","2,962","84.5712357%"
"2015-07-01","A DIVISION","4","1","offpeak","24,605","32,116","76.6129032%"
"2015-07-01","A DIVISION","4","2","offpeak","6,856","9,456","72.5042301%"
"2015-07-01","A DIVISION","4","1","peak","15,485","24,420","63.4111384%"
"2015-07-01","A DIVISION","4","2","peak","3,893","5,104","76.273511%"
"2015-07-01","A DIVISION","5","1","offpeak","18,101","25,694","70.4483537%"
"2015-07-01","A DIVISION","5","2","offpeak","113","114","99.122807%"
"2015-07-01","A DIVISION","5","1","peak","12,509","20,590","60.7527926%"
"2015-07-01","A DIVISION","5","2","peak","59","59","100%"
"2015-07-01","A DIVISION","6","1","offpeak","21,625","30,187","71.6367973%"
"2015-07-01","A DIVISION","6","2","offpeak","5,023","6,263","80.2011815%"
"2015-07-01","A DIVISION","6","1","peak","14,540","22,084","65.8395218%"
"2015-07-01","A DIVISION","6","2","peak","2,691","3,305","81.4220877%"
"2015-07-01","A DIVISION","7","1","offpeak","12,416","16,257","76.3732546%"
"2015-07-01","A DIVISION","7","2","offpeak","2,102","2,547","82.5284649%"
"2015-07-01","A DIVISION","7","1","peak","9,237","13,535","68.24529%"
"2015-07-01","A DIVISION","7","2","peak","1,320","1,691","78.0603193%"
"2015-07-01","A DIVISION","S 42nd","1","offpeak","6,049","6,227","97.1414806%"
"2015-07-01","A DIVISION","S 42nd","2","offpeak","1,688","1,751","96.402056%"
"2015-07-01","A DIVISION","S 42nd","1","peak","5,689","6,402","88.8628554%"
"2015-07-01","A DIVISION","S 42nd","2","peak","977","992","98.4879032%"
"2015-07-01","B DIVISION","A","1","offpeak","13,527","18,504","73.1031128%"
"2015-07-01","B DIVISION","A","2","offpeak","4,111","5,377","76.4552725%"
"2015-07-01","B DIVISION","A","1","peak","9,936","14,239","69.7801812%"
"2015-07-01","B DIVISION","A","2","peak","2,051","2,788","73.5652798%"
"2015-07-01","B DIVISION","B","1","offpeak","8,083","9,776","82.6820786%"
"2015-07-01","B DIVISION","B","1","peak","6,398","8,171","78.3013095%"
"2015-07-01","B DIVISION","C","1","offpeak","8,694","11,103","78.3031613%"
