"month","division","line","day_type","num_on_time_trips","num_sched_trips","terminal_on_time_performance"
"2016-02-01","B DIVISION","B","1","2,917","4,120","70.8009709%"
"2016-02-01","B DIVISION","C","1","3,078","4,000","76.95%"
"2016-02-01","B DIVISION","D","1","3,443","5,252","65.5559787%"
"2016-02-01","B DIVISION","E","1","5,379","7,900","68.0886076%"
"2016-02-01","B DIVISION","F","1","4,527","7,612","59.4718865%"
"2016-02-01","B DIVISION","G","1","4,550","5,600","81.25%"
"2016-02-01","B DIVISION","JZ","1","4,084","5,799","70.4259355%"
"2016-02-01","B DIVISION","L","1","9,106","10,100","90.1584158%"
"2016-02-01","B DIVISION","M","1","3,705","5,360","69.1231343%"
"2016-02-01","B DIVISION","N","1","3,251","5,316","61.1550038%"
"2016-02-01","B DIVISION","Q","1","3,839","5,356","71.6766243%"
"2016-02-01","B DIVISION","R","1","3,394","5,680","59.7535211%"
"2016-02-01","B DIVISION","S Fkln","1","2,356","2,360","99.8305085%"
"2016-02-01","B DIVISION","S Rock","1","3,271","3,364","97.235434%"
"2016-03-01","A DIVISION","1","1","7,160","10,566","67.7645277%"
"2016-03-01","A DIVISION","2","1","2,998","7,330","40.9004093%"
"2016-03-01","A DIVISION","3","1","4,408","6,982","63.1337726%"
"2016-03-01","A DIVISION","4","1","3,472","8,452","41.0790345%"
"2016-03-01","A DIVISION","5","1","2,746","7,471","36.7554544%"
"2016-03-01","A DIVISION","6","1","6,605","12,934","51.0669553%"
"2016-03-01","A DIVISION","7","1","10,826","14,316","75.621682%"
"2016-03-01","A DIVISION","S 42nd","1","13,482","13,523","99.6968128%"
"2016-03-01","B DIVISION","A","1","5,493","8,437","65.1060804%"
"2016-03-01","B DIVISION","B","1","3,538","4,706","75.1806205%"
"2016-03-01","B DIVISION","C","1","3,254","4,600","70.7391304%"
"2016-03-01","B DIVISION","D","1","4,412","6,409","68.8406928%"
"2016-03-01","B DIVISION","E","1","6,353","9,088","69.9053697%"
"2016-03-01","B DIVISION","F","1","5,485","8,758","62.628454%"
"2016-03-01","B DIVISION","G","1","4,962","6,440","77.0496894%"
"2016-03-01","B DIVISION","JZ","1","4,173","6,377","65.4382939%"
"2016-03-01","B DIVISION","L","1","10,398","11,615","89.5221696%"
"2016-03-01","B DIVISION","M","1","4,169","6,164","67.6346528%"
"2016-03-01","B DIVISION","N","1","4,140","6,257","66.1658942%"
"2016-03-01","B DIVISION","Q","1","4,444","6,160","72.1428571%"
"2016-03-01","B DIVISION","R","1","4,038","6,532","61.8187385%"
"2016-03-01","B DIVISION","S Fkln","1","2,699","2,714","99.4473102%"
"2016-03-01","B DIVISION","S Rock","1","1,822","1,932","94.3064182%"
"2016-04-01","A DIVISION","1","1","6,994","9,676","72.2819347%"
"2016-04-01","A DIVISION","2","1","2,707","6,981","38.7766796%"
"2016-04-01","A DIVISION","3","1","3,952","6,426","61.5001556%"
"2016-04-01","A DIVISION","4","1","3,081","7,716","39.9300156%"
"2016-04-01","A DIVISION","5","1","2,612","6,787","38.4853396%"
"2016-04-01","A DIVISION","6","1","6,171","11,690","52.7887083%"
"2016-04-01","A DIVISION","7","1","9,874","13,103","75.3567885%"
"2016-04-01","A DIVISION","S 42nd","1","12,321","12,495","98.607443%"
"2016-04-01","B DIVISION","A","1","4,900","7,703","63.6115799%"
"2016-04-01","B DIVISION","B","1","3,102","4,326","71.7059639%"
"2016-04-01","B DIVISION","C","1","2,961","4,200","70.5%"
"2016-04-01","B DIVISION","D","1","4,060","5,762","70.4616453%"
"2016-04-01","B DIVISION","E","1","5,805","8,296","69.9734812%"
"2016-04-01","B DIVISION","F","1","5,102","8,117","62.8557349%"
"2016-04-01","B DIVISION","G","1","4,977","6,056","82.182959%"
"2016-04-01","B DIVISION","JZ","1","3,809","5,737","66.3935855%"
"2016-04-01","B DIVISION","L","1","9,828","10,605","92.6732673%"
"2016-04-01","B DIVISION","M","1","4,096","5,628","72.7789623%"
"2016-04-01","B DIVISION","N","1","3,837","5,582","68.7388033%"
"2016-04-01","B DIVISION","Q","1","4,447","5,624","79.071835%"
"2016-04-01","B DIVISION","R","1","3,747","5,964","62.8269618%"
"2016-04-01","B DIVISION","S Fkln","1","2,476","2,478","99.9192897%"
"2016-04-01","B DIVISION","S Rock","1","1,622","1,764","91.9501134%"
"2016-05-01","A DIVISION","1","1","7,303","9,480","77.035865%"
"2016-05-01","A DIVISION","2","1","2,220","6,578","33.7488598%"
"2016-05-01","A DIVISION","3","1","3,696","6,398","57.7680525%"
"2016-05-01","A DIVISION","4","1","2,940","7,716","38.1026439%"
"2016-05-01","A DIVISION","5","1","2,341","6,701","34.9350843%"
"2016-05-01","A DIVISION","6","1","6,266","11,690","53.6013687%"
"2016-05-01","A DIVISION","7","1","9,779","13,042","74.9808312%"
"2016-05-01","A DIVISION","S 42nd","1","12,194","12,222","99.7709049%"
"2016-05-01","B DIVISION","A","1","4,945","7,703","64.1957679%"
"2016-05-01","B DIVISION","B","1","3,297","4,326","76.2135922%"
"2016-05-01","B DIVISION","C","1","3,095","4,200","73.6904762%"
"2016-05-01","B DIVISION","D","1","3,883","5,515","70.4079782%"
"2016-05-01","B DIVISION","E","1","5,856","8,296","70.5882353%"
"2016-05-01","B DIVISION","F","1","5,382","7,994","67.3254941%"
"2016-05-01","B DIVISION","G","1","5,434","6,383","85.1323829%"
"2016-05-01","B DIVISION","JZ","1","3,562","5,737","62.0881994%"
"2016-05-01","B DIVISION","L","1","9,841","10,605","92.795851%"
"2016-05-01","B DIVISION","M","1","4,102","5,628","72.8855721%"
"2016-05-01","B DIVISION","N","1","3,464","5,582","62.0566105%"
"2016-05-01","B DIVISION","Q","1","3,868","5,624","68.7766714%"
"2016-05-01","B DIVISION","R","1","3,565","5,951","59.9058982%"
"2016-05-01","B DIVISION","S Fkln","1","2,474","2,478","99.8385795%"
"2016-05-01","B DIVISION","S Rock","1","1,670","1,764","94.6712018%"
"2016-06-01","A DIVISION","1","1","7,276","10,016","72.64377%"
"2016-06-01","A DIVISION","2","1","2,613","7,074","36.9380831%"
"2016-06-01","A DIVISION","3","1","4,022","6,732","59.7445039%"
"2016-06-01","A DIVISION","4","1","3,276","8,140","40.2457002%"
"2016-06-01","A DIVISION","5","1","2,841","7,202","39.4473757%"
"2016-06-01","A DIVISION","6","1","6,097","12,464","48.9168806%"
"2016-06-01","A DIVISION","7","1","10,646","13,664","77.9127635%"
"2016-06-01","A DIVISION","S 42nd","1","13,119","13,268","98.8769973%"
"2016-06-01","B DIVISION","A","1","4,953","8,143","60.8252487%"
"2016-06-01","B DIVISION","B","1","3,119","4,532","68.8217123%"
"2016-06-01","B DIVISION","C","1","3,114","4,400","70.7727273%"
"2016-06-01","B DIVISION","D","1","3,799","5,778","65.7493943%"
"2016-06-01","B DIVISION","E","1","5,777","8,748","66.0379515%"
"2016-06-01","B DIVISION","F","1","4,868","8,376","58.1184336%"
"2016-06-01","B DIVISION","G","1","5,341","6,527","81.8293243%"
